sn,kind,kind_text,type_code,type_code_text,bank_name,start_date,end_date,_error
19,1,設備提供者(房東),2,態樣二,LINE Pay,2020-08-05T00:00:00,,HTTP 405
8,2,設備使用者(房客),1,態樣一,LINE Pay,2018-09-03T00:00:00,,HTTP 405
9,2,設備使用者(房客),1,態樣一,中國信託商業銀行,2018-09-03T00:00:00,,HTTP 405
12,2,設備使用者(房客),1,態樣一,台新國際商業銀行,2019-03-05T00:00:00,,HTTP 405
14,2,設備使用者(房客),1,態樣一,玉山商業銀行,2019-06-20T00:00:00,,HTTP 405
20,2,設備使用者(房客),1,態樣一,聯邦商業銀行,2020-08-25T00:00:00,,HTTP 405
21,2,設備使用者(房客),1,態樣一,台北富邦商業銀行,2020-10-29T00:00:00,,HTTP 405
