年月,電子支付機構名稱,使用者人數,當月代理收付實質交易款項金額(千元),當月帳戶間款項移轉或國內外小額匯兌金額(千元),欄位說明,當月收受儲值款項金額(千元),儲值款項餘額(千元),代理收付款項餘額(千元),各類款項餘額合計(千元)
107年04月,上海商業儲蓄銀行,1,0,0,帳戶間款項移轉,0,,,3
107年04月,中國信託商業銀行,286041,25307,0,帳戶間款項移轉,164,,,53331
107年04月,中華郵政公司,11918,26363,0,帳戶間款項移轉,0,,,2
107年04月,元大商業銀行,715,52198,0,帳戶間款項移轉,0,,,2804
107年04月,兆豐國際商業銀行,1061,18428,0,帳戶間款項移轉,0,,,4440
107年04月,台北富邦商業銀行,141,6526,0,帳戶間款項移轉,0,,,1134
107年04月,台新國際商業銀行,4765,295835,0,帳戶間款項移轉,0,,,4802
107年04月,台灣電子支付股份有限公司,6995,262,1,帳戶間款項移轉,1,,,790
107年04月,合作金庫商業銀行,2364,9976,0,帳戶間款項移轉,0,,,0
107年04月,國泰世華商業銀行,1004,11078,0,帳戶間款項移轉,0,,,0
107年04月,國際連股份有限公司,19849,87,132,帳戶間款項移轉,172,,,1522
107年04月,彰化商業銀行,10233,10971,0,帳戶間款項移轉,115,,,1695
107年04月,智付寶股份有限公司,13413,424,33,帳戶間款項移轉,182,,,477
107年04月,橘子支行動支付股份有限公司,53034,2507,215,帳戶間款項移轉,2347,,,6276
107年04月,歐付寶電子支付股份有限公司,729700,62338,37330,帳戶間款項移轉,7116,,,111639
107年04月,永豐商業銀行,306208,10388,0,帳戶間款項移轉,0,,,5772
107年04月,玉山商業銀行,650723,1360759,0,帳戶間款項移轉,0,,,72669
107年04月,第一商業銀行,20504,13514,0,帳戶間款項移轉,0,,,3985
107年04月,臺灣中小企業銀行,979,1634,0,帳戶間款項移轉,0,,,9
107年04月,臺灣土地銀行,2128,2164,0,帳戶間款項移轉,0,,,103
107年04月,臺灣新光商業銀行,267,31511,0,帳戶間款項移轉,0,,,3269
107年04月,臺灣銀行,11141,3705,0,帳戶間款項移轉,0,,,3705
107年04月,華南商業銀行,1067,10718,0,帳戶間款項移轉,0,,,1387
107年04月,街口電子支付股份有限公司,293600,206966,25192,帳戶間款項移轉,64734,,,133306
107年04月,遠東國際商業銀行,39,13838,0,帳戶間款項移轉,0,,,0
107年04月,陽信商業銀行,3201,51,0,帳戶間款項移轉,0,,,24
107年05月,上海商業儲蓄銀行,1,0,0,帳戶間款項移轉,0,,,3
107年05月,中國信託商業銀行,289756,28375,0,帳戶間款項移轉,213,,,52955
107年05月,中華郵政公司,12678,27766,0,帳戶間款項移轉,0,,,2
107年05月,元大商業銀行,729,39992,0,帳戶間款項移轉,0,,,1059
107年05月,兆豐國際商業銀行,1075,16443,0,帳戶間款項移轉,0,,,3867
107年05月,台北富邦商業銀行,142,7028,0,帳戶間款項移轉,0,,,767
107年05月,台新國際商業銀行,5225,286434,0,帳戶間款項移轉,0,,,7843
107年05月,台灣電子支付股份有限公司,7426,1143,10,帳戶間款項移轉,8,,,1860
107年05月,合作金庫商業銀行,2476,12549,0,帳戶間款項移轉,0,,,0
107年05月,國泰世華商業銀行,1015,11818,0,帳戶間款項移轉,0,,,0
107年05月,國際連股份有限公司,20327,121,292,帳戶間款項移轉,96,,,1482
107年05月,彰化商業銀行,10367,11825,0,帳戶間款項移轉,29,,,1842
107年05月,智付寶股份有限公司,15889,181,26,帳戶間款項移轉,93,,,284
107年05月,橘子支行動支付股份有限公司,53956,2994,219,帳戶間款項移轉,3202,,,6529
107年05月,歐付寶電子支付股份有限公司,737765,59625,36027,帳戶間款項移轉,7416,,,108593
107年05月,永豐商業銀行,315938,12286,0,帳戶間款項移轉,0,,,4114
107年05月,玉山商業銀行,681200,1488093,0,帳戶間款項移轉,0,,,54465
107年05月,第一商業銀行,20553,12378,0,帳戶間款項移轉,0,,,2798
107年05月,臺灣中小企業銀行,1019,1662,0,帳戶間款項移轉,0,,,9
107年05月,臺灣土地銀行,2203,1592,0,帳戶間款項移轉,0,,,106
107年05月,臺灣新光商業銀行,280,30605,0,帳戶間款項移轉,0,,,671
107年05月,臺灣銀行,11326,5207,0,帳戶間款項移轉,0,,,5207
107年05月,華南商業銀行,1085,12594,0,帳戶間款項移轉,0,,,457
107年05月,街口電子支付股份有限公司,323001,227764,29654,帳戶間款項移轉,72892,,,132529
107年05月,遠東國際商業銀行,39,17858,0,帳戶間款項移轉,0,,,0
107年05月,陽信商業銀行,3254,63,0,帳戶間款項移轉,0,,,30
107年06月,上海商業儲蓄銀行,1,0,0,帳戶間款項移轉,0,,,3
107年06月,中國信託商業銀行,292537,26964,0,帳戶間款項移轉,137,,,53427
107年06月,中華郵政公司,13513,27789,0,帳戶間款項移轉,0,,,2
107年06月,元大商業銀行,743,45068,0,帳戶間款項移轉,0,,,1431
107年06月,兆豐國際商業銀行,1083,22401,0,帳戶間款項移轉,0,,,2383
107年06月,台北富邦商業銀行,147,7030,0,帳戶間款項移轉,0,,,873
107年06月,台新國際商業銀行,5788,322018,0,帳戶間款項移轉,0,,,7296
107年06月,台灣電子支付股份有限公司,7634,1456,303,帳戶間款項移轉,172,,,1861
107年06月,合作金庫商業銀行,2670,11837,0,帳戶間款項移轉,0,,,0
107年06月,國泰世華商業銀行,1057,11262,0,帳戶間款項移轉,0,,,0
107年06月,國際連股份有限公司,20809,162,389,帳戶間款項移轉,152,,,1494
107年06月,彰化商業銀行,10472,9128,0,帳戶間款項移轉,14,,,1027
107年06月,智付寶股份有限公司,16186,143,33,帳戶間款項移轉,139,,,322
107年06月,橘子支行動支付股份有限公司,117107,8386,206,帳戶間款項移轉,21654,,,21656
107年06月,歐付寶電子支付股份有限公司,746697,57494,34518,帳戶間款項移轉,7321,,,112669
107年06月,永豐商業銀行,323972,11338,0,帳戶間款項移轉,0,,,4629
107年06月,玉山商業銀行,714668,1401592,0,帳戶間款項移轉,0,,,54918
107年06月,第一商業銀行,20584,15872,0,帳戶間款項移轉,0,,,3135
107年06月,臺灣中小企業銀行,1103,1661,0,帳戶間款項移轉,0,,,9
107年06月,臺灣土地銀行,2270,1965,0,帳戶間款項移轉,0,,,107
107年06月,臺灣新光商業銀行,298,51615,0,帳戶間款項移轉,0,,,2414
107年06月,臺灣銀行,11522,4583,0,帳戶間款項移轉,0,,,7
107年06月,華南商業銀行,1104,10940,0,帳戶間款項移轉,0,,,1264
107年06月,街口電子支付股份有限公司,346504,212531,32388,帳戶間款項移轉,76473,,,135254
107年06月,遠東國際商業銀行,39,14262,0,帳戶間款項移轉,0,,,0
107年06月,陽信商業銀行,3281,133,0,帳戶間款項移轉,0,,,22
107年08月,上海商業儲蓄銀行,2,0,0,帳戶間款項移轉,0,,,4
107年08月,中國信託商業銀行,298215,29625,0,帳戶間款項移轉,133,,,53058
107年08月,中華郵政公司,14821,27002,0,帳戶間款項移轉,0,,,2
107年08月,元大商業銀行,771,124210,0,帳戶間款項移轉,0,,,25091
107年08月,兆豐國際商業銀行,1105,11037,0,帳戶間款項移轉,0,,,1172
107年08月,台北富邦商業銀行,472,10575,0,帳戶間款項移轉,0,,,571
107年08月,台新國際商業銀行,6601,526317,0,帳戶間款項移轉,0,,,14723
107年08月,台灣電子支付股份有限公司,7957,776,20,帳戶間款項移轉,17,,,242
107年08月,合作金庫商業銀行,2885,11018,0,帳戶間款項移轉,0,,,0
107年08月,國泰世華商業銀行,915,11087,0,帳戶間款項移轉,0,,,0
107年08月,國際連股份有限公司,21906,155,175,帳戶間款項移轉,184,,,1282
107年08月,彰化商業銀行,10890,13154,0,帳戶間款項移轉,146,,,2153
107年08月,橘子支行動支付股份有限公司,125856,5975,253,帳戶間款項移轉,5015,,,15842
107年08月,歐付寶電子支付股份有限公司,764943,73319,32765,帳戶間款項移轉,7865,,,107712
107年08月,永豐商業銀行,339972,15056,0,帳戶間款項移轉,0,,,4229
107年08月,玉山商業銀行,771201,1466806,0,帳戶間款項移轉,0,,,54589
107年08月,第一商業銀行,20619,52338,0,帳戶間款項移轉,0,,,33541
107年08月,簡單行動支付股份有限公司,16685,103,49,帳戶間款項移轉,63,,,842
107年08月,臺灣中小企業銀行,1187,1709,0,帳戶間款項移轉,0,,,9
107年08月,臺灣土地銀行,2391,2002,0,帳戶間款項移轉,0,,,125
107年08月,臺灣新光商業銀行,316,38804,0,帳戶間款項移轉,0,,,1079
107年08月,臺灣銀行,11858,4473,0,帳戶間款項移轉,0,,,21
107年08月,華南商業銀行,1118,13363,0,帳戶間款項移轉,0,,,1139
107年08月,街口電子支付股份有限公司,404198,322664,50137,帳戶間款項移轉,118222,,,152370
107年08月,遠東國際商業銀行,39,18488,0,帳戶間款項移轉,0,,,0
107年08月,陽信商業銀行,3318,74,0,帳戶間款項移轉,0,,,29
107年09月,一卡通票證股份有限公司,517593,8000,556507,帳戶間款項移轉,281125,,,121171
107年09月,上海商業儲蓄銀行,2,0,0,帳戶間款項移轉,0,,,4
107年09月,中國信託商業銀行,300974,23628,0,帳戶間款項移轉,309,,,50338
107年09月,中華郵政公司,15398,25145,0,帳戶間款項移轉,0,,,2
107年09月,元大商業銀行,771,147126,0,帳戶間款項移轉,0,,,18560
107年09月,兆豐國際商業銀行,1113,13850,0,帳戶間款項移轉,0,,,1601
107年09月,台北富邦商業銀行,552,7135,0,帳戶間款項移轉,0,,,872
107年09月,台新國際商業銀行,7179,320168,0,帳戶間款項移轉,0,,,58838
107年09月,台灣電子支付股份有限公司,7957,125,0,帳戶間款項移轉,0,,,0
107年09月,合作金庫商業銀行,3040,14361,0,帳戶間款項移轉,0,,,0
107年09月,國泰世華商業銀行,919,10071,0,帳戶間款項移轉,0,,,0
107年09月,國際連股份有限公司,22435,81,95,帳戶間款項移轉,90,,,1216
107年09月,彰化商業銀行,10986,14484,0,帳戶間款項移轉,108,,,1365
107年09月,橘子支行動支付股份有限公司,128166,4063,264,帳戶間款項移轉,3702,,,13883
107年09月,歐付寶電子支付股份有限公司,760308,70866,28428,帳戶間款項移轉,7520,,,107566
107年09月,永豐商業銀行,346737,16641,0,帳戶間款項移轉,0,,,7402
107年09月,玉山商業銀行,795414,1337358,0,帳戶間款項移轉,0,,,134132
107年09月,第一商業銀行,20632,61567,0,帳戶間款項移轉,0,,,27194
107年09月,簡單行動支付股份有限公司,22856,320,32,帳戶間款項移轉,126,,,894
107年09月,臺灣中小企業銀行,1220,2269,0,帳戶間款項移轉,0,,,9
107年09月,臺灣土地銀行,2448,3366,0,帳戶間款項移轉,0,,,138
107年09月,臺灣新光商業銀行,319,35631,0,帳戶間款項移轉,0,,,2787
107年09月,臺灣銀行,12012,4063,0,帳戶間款項移轉,0,,,50
107年09月,華南商業銀行,1124,10196,0,帳戶間款項移轉,0,,,1038
107年09月,街口電子支付股份有限公司,539897,386420,59495,帳戶間款項移轉,182335,,,176202
107年09月,遠東國際商業銀行,41,16580,0,帳戶間款項移轉,0,,,0
107年09月,陽信商業銀行,3322,159,0,帳戶間款項移轉,0,,,27
107年10月,一卡通票證股份有限公司,706490,14965,105440,帳戶間款項移轉,275309,,,150209
107年10月,上海商業儲蓄銀行,4,0,0,帳戶間款項移轉,0,,,4
107年10月,中國信託商業銀行,304193,27199,0,帳戶間款項移轉,241,,,50057
107年10月,中華郵政公司,16046,28387,0,帳戶間款項移轉,0,,,2
107年10月,元大商業銀行,774,82579,0,帳戶間款項移轉,0,,,6337
107年10月,兆豐國際商業銀行,1128,13609,0,帳戶間款項移轉,0,,,1667
107年10月,台北富邦商業銀行,561,7568,0,帳戶間款項移轉,0,,,374
107年10月,台新國際商業銀行,7787,430796,0,帳戶間款項移轉,0,,,35132
107年10月,合作金庫商業銀行,3439,12466,0,帳戶間款項移轉,0,,,0
107年10月,國泰世華商業銀行,893,11301,0,帳戶間款項移轉,0,,,0
107年10月,國際連股份有限公司,22982,93,214,帳戶間款項移轉,124,,,1151
107年10月,彰化商業銀行,11079,10589,0,帳戶間款項移轉,83,,,1597
107年10月,橘子支行動支付股份有限公司,130242,7794,298,帳戶間款項移轉,7693,,,17250
107年10月,歐付寶電子支付股份有限公司,770879,72525,28378,帳戶間款項移轉,7564,,,109418
107年10月,永豐商業銀行,353249,17836,0,帳戶間款項移轉,0,,,4693
107年10月,玉山商業銀行,813025,1653333,0,帳戶間款項移轉,0,,,111106
107年10月,第一商業銀行,20643,17542,0,帳戶間款項移轉,0,,,4826
107年10月,簡單行動支付股份有限公司,23379,868,39,帳戶間款項移轉,97,,,1411
107年10月,臺灣中小企業銀行,1259,2064,0,帳戶間款項移轉,0,,,9
107年10月,臺灣土地銀行,2508,2022,0,帳戶間款項移轉,0,,,123
107年10月,臺灣新光商業銀行,325,47406,0,帳戶間款項移轉,0,,,1307
107年10月,臺灣銀行,12182,5292,0,帳戶間款項移轉,0,,,65
107年10月,華南商業銀行,1128,12823,0,帳戶間款項移轉,0,,,494
107年10月,街口電子支付股份有限公司,572856,473997,73734,帳戶間款項移轉,270016,,,188090
107年10月,遠東國際商業銀行,41,23616,0,帳戶間款項移轉,0,,,0
107年10月,陽信商業銀行,3327,82,0,帳戶間款項移轉,0,,,10
107年11月,一卡通票證股份有限公司,903296,43899,124078,帳戶間款項移轉,336503,,,191218
107年11月,上海商業儲蓄銀行,4,0,0,帳戶間款項移轉,0,,,4
107年11月,中國信託商業銀行,307243,26690,0,帳戶間款項移轉,225,,,46526
107年11月,中華郵政公司,16779,30612,0,帳戶間款項移轉,0,,,5
107年11月,元大商業銀行,777,51917,0,帳戶間款項移轉,0,,,1498
107年11月,兆豐國際商業銀行,1138,21929,0,帳戶間款項移轉,0,,,1688
107年11月,台北富邦商業銀行,585,6673,0,帳戶間款項移轉,0,,,725
107年11月,台新國際商業銀行,8163,305916,0,帳戶間款項移轉,0,,,7986
107年11月,合作金庫商業銀行,3639,11774,0,帳戶間款項移轉,0,,,0
107年11月,國泰世華商業銀行,1094,12983,0,帳戶間款項移轉,0,,,0
107年11月,國際連股份有限公司,23565,41,151,帳戶間款項移轉,214,,,1194
107年11月,彰化商業銀行,11184,8202,0,帳戶間款項移轉,9,,,1479
107年11月,橘子支行動支付股份有限公司,133780,3485,219,帳戶間款項移轉,3635,,,12053
107年11月,歐付寶電子支付股份有限公司,780990,68814,24092,帳戶間款項移轉,6294,,,110199
107年11月,永豐商業銀行,359436,15515,0,帳戶間款項移轉,0,,,5459
107年11月,玉山商業銀行,856184,1598051,0,帳戶間款項移轉,0,,,74425
107年11月,第一商業銀行,20652,11498,0,帳戶間款項移轉,0,,,2031
107年11月,簡單行動支付股份有限公司,24097,1002,18,帳戶間款項移轉,193,,,1333
107年11月,臺灣中小企業銀行,1311,1965,0,帳戶間款項移轉,0,,,9
107年11月,臺灣土地銀行,2591,2833,0,帳戶間款項移轉,0,,,127
107年11月,臺灣新光商業銀行,337,34167,0,帳戶間款項移轉,0,,,1044
107年11月,臺灣銀行,12360,5206,0,帳戶間款項移轉,0,,,2
107年11月,華南商業銀行,1141,8410,0,帳戶間款項移轉,0,,,567
107年11月,街口電子支付股份有限公司,613223,565173,86044,帳戶間款項移轉,357367,,,203745
107年11月,遠東國際商業銀行,41,20279,0,帳戶間款項移轉,0,,,0
107年11月,陽信商業銀行,3333,124,0,帳戶間款項移轉,0,,,17
107年12月,一卡通票證股份有限公司,1006821,52580,150673,帳戶間款項移轉,349655,,,220885
107年12月,上海商業儲蓄銀行,4,0,0,帳戶間款項移轉,0,,,4
107年12月,中國信託商業銀行,309889,23621,0,帳戶間款項移轉,2487,,,43337
107年12月,中華郵政公司,17213,25874,0,帳戶間款項移轉,0,,,6
107年12月,元大商業銀行,792,76667,0,帳戶間款項移轉,0,,,0
107年12月,兆豐國際商業銀行,1150,19310,0,帳戶間款項移轉,0,,,3341
107年12月,台北富邦商業銀行,626,8309,0,帳戶間款項移轉,0,,,1582
107年12月,台新國際商業銀行,8789,356010,0,帳戶間款項移轉,0,,,1470
107年12月,合作金庫商業銀行,3781,9863,0,帳戶間款項移轉,0,,,0
107年12月,國泰世華商業銀行,919,11329,0,帳戶間款項移轉,0,,,0
107年12月,國際連股份有限公司,24126,19,181,帳戶間款項移轉,158,,,1243
107年12月,彰化商業銀行,11256,9217,0,帳戶間款項移轉,1,,,1444
107年12月,橘子支行動支付股份有限公司,135514,3981,324,帳戶間款項移轉,4129,,,13188
107年12月,歐付寶電子支付股份有限公司,789235,66854,27835,帳戶間款項移轉,6912,,,111784
107年12月,永豐商業銀行,366560,15929,0,帳戶間款項移轉,0,,,7798
107年12月,玉山商業銀行,883175,1684912,0,帳戶間款項移轉,0,,,149394
107年12月,第一商業銀行,20666,14344,0,帳戶間款項移轉,0,,,2319
107年12月,簡單行動支付股份有限公司,24604,3577,12,帳戶間款項移轉,202,,,1827
107年12月,臺灣中小企業銀行,1348,1451,0,帳戶間款項移轉,0,,,9
107年12月,臺灣土地銀行,"     r2,644",2010,0,帳戶間款項移轉,0,,,127
107年12月,臺灣新光商業銀行,339,31652,0,帳戶間款項移轉,0,,,4654
107年12月,臺灣銀行,12481,4530,0,帳戶間款項移轉,0,,,1
107年12月,華南商業銀行,1144,8246,0,帳戶間款項移轉,0,,,1666
107年12月,街口電子支付股份有限公司,661670,588283,104852,帳戶間款項移轉,362097,,,282781
107年12月,遠東國際商業銀行,41,15722,0,帳戶間款項移轉,0,,,0
107年12月,陽信商業銀行,3341,47,0,帳戶間款項移轉,0,,,10
108年01月,一卡通票證股份有限公司,1099230,62417,189379,帳戶間款項移轉,399460,,,247864
108年01月,上海商業儲蓄銀行,4,0,0,帳戶間款項移轉,0,,,4
108年01月,中國信託商業銀行,312531,22743,0,帳戶間款項移轉,309,,,41233
108年01月,中華郵政公司,17581,23674,0,帳戶間款項移轉,0,,,8
108年01月,元大商業銀行,813,110377,0,帳戶間款項移轉,0,,,12803
108年01月,兆豐國際商業銀行,1156,16403,0,帳戶間款項移轉,0,,,2139
108年01月,台北富邦商業銀行,648,10696,0,帳戶間款項移轉,0,,,676
108年01月,台新國際商業銀行,"     r9,491",462710,0,帳戶間款項移轉,0,,,0
108年01月,合作金庫商業銀行,3828,8493,0,帳戶間款項移轉,0,,,0
108年01月,國泰世華商業銀行,712,11384,0,帳戶間款項移轉,0,,,0
108年01月,國際連股份有限公司,24712,3,238,帳戶間款項移轉,205,,,1224
108年01月,彰化商業銀行,11352,10909,0,帳戶間款項移轉,43,,,2429
108年01月,橘子支行動支付股份有限公司,155531,13200,534,帳戶間款項移轉,14499,,,25245
108年01月,歐付寶電子支付股份有限公司,797036,85964,24926,帳戶間款項移轉,6105,,,116243
108年01月,永豐商業銀行,372577,18098,0,帳戶間款項移轉,0,,,8261
108年01月,玉山商業銀行,905110,1623035,0,帳戶間款項移轉,0,,,91545
108年01月,第一商業銀行,20675,21579,0,帳戶間款項移轉,0,,,9286
108年01月,簡單行動支付股份有限公司,25224,2745,38,帳戶間款項移轉,117,,,1815
108年01月,臺灣中小企業銀行,1347,1527,0,帳戶間款項移轉,0,,,9
108年01月,臺灣土地銀行,2677,1863,0,帳戶間款項移轉,0,,,127
108年01月,臺灣新光商業銀行,349,36490,0,帳戶間款項移轉,0,,,1801
108年01月,臺灣銀行,12584,5283,0,帳戶間款項移轉,0,,,12
108年01月,華南商業銀行,1152,12159,0,帳戶間款項移轉,0,,,600
108年01月,街口電子支付股份有限公司,696664,564858,142598,帳戶間款項移轉,459338,,,255869
108年01月,遠東國際商業銀行,41,20229,0,帳戶間款項移轉,0,,,0
108年01月,陽信商業銀行,3343,50,0,帳戶間款項移轉,0,,,18
108年02月,一卡通票證股份有限公司,1305821,67442,707788,帳戶間款項移轉,411874,,,307129
108年02月,上海商業儲蓄銀行,6,9,0,帳戶間款項移轉,0,,,3
108年02月,中國信託商業銀行,314457,19581,0,帳戶間款項移轉,221,,,40065
108年02月,中華郵政公司,17842,17762,0,帳戶間款項移轉,0,,,8
108年02月,元大商業銀行,819,246811,0,帳戶間款項移轉,0,,,119983
108年02月,兆豐國際商業銀行,1165,11041,0,帳戶間款項移轉,0,,,2932
108年02月,台北富邦商業銀行,749,17829,0,帳戶間款項移轉,0,,,897
108年02月,台新國際商業銀行,"    r10,006",713084,0,帳戶間款項移轉,0,,,57830
108年02月,合作金庫商業銀行,3917,8866,0,帳戶間款項移轉,0,,,0
108年02月,國泰世華商業銀行,555,6789,0,帳戶間款項移轉,0,,,0
108年02月,國際連股份有限公司,25184,4,85,帳戶間款項移轉,302,,,1234
108年02月,彰化商業銀行,11402,15323,0,帳戶間款項移轉,41,,,1740
108年02月,橘子支行動支付股份有限公司,172333,33913,541,帳戶間款項移轉,5300,,,34382
108年02月,歐付寶電子支付股份有限公司,803214,75131,28962,帳戶間款項移轉,7441,,,121093
108年02月,永豐商業銀行,379180,18528,0,帳戶間款項移轉,0,,,5947
108年02月,玉山商業銀行,922215,1195682,0,帳戶間款項移轉,0,,,154265
108年02月,第一商業銀行,20686,90578,0,帳戶間款項移轉,0,,,57390
108年02月,簡單行動支付股份有限公司,25881,1310,17,帳戶間款項移轉,181,,,2394
108年02月,臺灣中小企業銀行,1347,832,0,帳戶間款項移轉,0,,,9
108年02月,臺灣土地銀行,2695,1155,0,帳戶間款項移轉,0,,,119
108年02月,臺灣新光商業銀行,351,45751,0,帳戶間款項移轉,0,,,2914
108年02月,臺灣銀行,12648,3823,0,帳戶間款項移轉,0,,,9
108年02月,華南商業銀行,1155,9551,0,帳戶間款項移轉,0,,,1038
108年02月,街口電子支付股份有限公司,739864,708107,186042,帳戶間款項移轉,736289,,,258728
108年02月,遠東國際商業銀行,41,31963,0,帳戶間款項移轉,0,,,0
108年02月,陽信商業銀行,3349,118,0,帳戶間款項移轉,0,,,32
108年03月,一卡通票證股份有限公司,1388407,79137,198735,帳戶間款項移轉,439998,,,328773
108年03月,上海商業儲蓄銀行,23,710,0,帳戶間款項移轉,0,,,3
108年03月,中國信託商業銀行,317159,20240,0,帳戶間款項移轉,77,,,39578
108年03月,中華郵政公司,18260,26383,0,帳戶間款項移轉,0,,,8
108年03月,元大商業銀行,834,101324,0,帳戶間款項移轉,0,,,4085
108年03月,兆豐國際商業銀行,1170,18278,0,帳戶間款項移轉,0,,,3030
108年03月,台北富邦商業銀行,872,10289,0,帳戶間款項移轉,0,,,1563
108年03月,台新國際商業銀行,"    r10,437",483862,0,帳戶間款項移轉,0,,,12830
108年03月,合作金庫商業銀行,4002,0,0,帳戶間款項移轉,0,,,0
108年03月,國泰世華商業銀行,714,9085,0,帳戶間款項移轉,0,,,0
108年03月,國際連股份有限公司,25813,2,104,帳戶間款項移轉,322,,,1358
108年03月,彰化商業銀行,11405,10591,0,帳戶間款項移轉,50,,,1907
108年03月,橘子支行動支付股份有限公司,175629,24415,341,帳戶間款項移轉,5583,,,27229
108年03月,歐付寶電子支付股份有限公司,809981,87554,58531,帳戶間款項移轉,10153,,,122117
108年03月,永豐商業銀行,387256,16290,0,帳戶間款項移轉,0,,,5451
108年03月,玉山商業銀行,945849,1570286,0,帳戶間款項移轉,0,,,129308
108年03月,第一商業銀行,20693,21986,0,帳戶間款項移轉,0,,,4797
108年03月,簡單行動支付股份有限公司,26827,1548,27,帳戶間款項移轉,116,,,2670
108年03月,臺灣中小企業銀行,1432,1122,0,帳戶間款項移轉,0,,,9
108年03月,臺灣土地銀行,2725,2041,0,帳戶間款項移轉,0,,,122
108年03月,臺灣新光商業銀行,355,56996,0,帳戶間款項移轉,0,,,6559
108年03月,臺灣銀行,12733,4134,0,帳戶間款項移轉,0,,,2
108年03月,華南商業銀行,1166,10319,0,帳戶間款項移轉,0,,,1638
108年03月,街口電子支付股份有限公司,776274,685185,235467,帳戶間款項移轉,806946,,,341222
108年03月,遠東國際商業銀行,41,20851,0,帳戶間款項移轉,0,,,0
108年03月,陽信商業銀行,3353,62,0,帳戶間款項移轉,0,,,45
108年04月,一卡通票證股份有限公司,1462936,102372,219199,帳戶間款項移轉,498109,,,354287
108年04月,上海商業儲蓄銀行,58,1593,0,帳戶間款項移轉,0,,,3
108年04月,中國信託商業銀行,319528,23772,0,帳戶間款項移轉,73,,,37683
108年04月,中華郵政公司,18739,23609,0,帳戶間款項移轉,0,,,1
108年04月,元大商業銀行,849,93371,0,帳戶間款項移轉,0,,,3150
108年04月,兆豐國際商業銀行,1178,22333,0,帳戶間款項移轉,0,,,4851
108年04月,台北富邦商業銀行,1002,12045,0,帳戶間款項移轉,0,,,2661
108年04月,台新國際商業銀行,"    r11,126",515858,0,帳戶間款項移轉,0,,,10872
108年04月,合作金庫商業銀行,4091,9781,0,帳戶間款項移轉,0,,,0
108年04月,國泰世華商業銀行,684,9374,0,帳戶間款項移轉,0,,,0
108年04月,國際連股份有限公司,26317,91,115,帳戶間款項移轉,134,,,1325
108年04月,彰化商業銀行,11563,11611,0,帳戶間款項移轉,8,,,441
108年04月,橘子支行動支付股份有限公司,178459,12756,427,帳戶間款項移轉,4057,,,28507
108年04月,歐付寶電子支付股份有限公司,817167,91629,57674,帳戶間款項移轉,10522,,,134862
108年04月,永豐商業銀行,396120,17517,0,帳戶間款項移轉,0,,,5263
108年04月,玉山商業銀行,966332,1454141,0,帳戶間款項移轉,0,,,98778
108年04月,第一商業銀行,20701,18408,0,帳戶間款項移轉,0,,,4749
108年04月,簡單行動支付股份有限公司,28240,3788,33,帳戶間款項移轉,337,,,3520
108年04月,臺灣中小企業銀行,1456,1508,0,帳戶間款項移轉,0,,,9
108年04月,臺灣土地銀行,2758,1608,0,帳戶間款項移轉,0,,,125
108年04月,臺灣新光商業銀行,362,59640,0,帳戶間款項移轉,0,,,2199
108年04月,臺灣銀行,12823,3316,0,帳戶間款項移轉,0,,,30
108年04月,華南商業銀行,1169,14651,0,帳戶間款項移轉,0,,,899
108年04月,街口電子支付股份有限公司,808891,701893,262076,帳戶間款項移轉,873566,,,325639
108年04月,遠東國際商業銀行,39,23040,0,帳戶間款項移轉,0,,,0
108年04月,陽信商業銀行,3368,100,0,帳戶間款項移轉,0,,,59
108年05月,一卡通票證股份有限公司,1532787,119440,236010,帳戶間款項移轉,540076,,,374927
108年05月,上海商業儲蓄銀行,83,1871,0,帳戶間款項移轉,0,,,3
108年05月,中國信託商業銀行,321727,25236,0,帳戶間款項移轉,67,,,37574
108年05月,中華郵政公司,19162,24744,0,帳戶間款項移轉,0,,,0
108年05月,元大商業銀行,873,108193,0,帳戶間款項移轉,0,,,2168
108年05月,兆豐國際商業銀行,1189,15272,0,帳戶間款項移轉,0,,,4848
108年05月,台北富邦商業銀行,1057,12769,0,帳戶間款項移轉,0,,,1225
108年05月,台新國際商業銀行,"    r11,748",535263,0,帳戶間款項移轉,0,,,18350
108年05月,合作金庫商業銀行,4220,13868,0,帳戶間款項移轉,0,,,0
108年05月,國泰世華商業銀行,714,7986,0,帳戶間款項移轉,0,,,0
108年05月,國際連股份有限公司,26885,6,73,帳戶間款項移轉,26,,,1203
108年05月,彰化商業銀行,11716,11435,0,帳戶間款項移轉,9,,,513
108年05月,橘子支行動支付股份有限公司,180465,8999,350,帳戶間款項移轉,3651,,,15993
108年05月,歐付寶電子支付股份有限公司,824205,100937,48892,帳戶間款項移轉,9627,,,139603
108年05月,永豐商業銀行,405727,19484,0,帳戶間款項移轉,0,,,4474
108年05月,玉山商業銀行,1001266,1553120,0,帳戶間款項移轉,0,,,83576
108年05月,第一商業銀行,20710,21360,0,帳戶間款項移轉,0,,,2114
108年05月,簡單行動支付股份有限公司,30572,1774,15,帳戶間款項移轉,95,,,3230
108年05月,臺灣中小企業銀行,1479,1887,0,帳戶間款項移轉,0,,,9
108年05月,臺灣土地銀行,2791,2004,0,帳戶間款項移轉,0,,,116
108年05月,臺灣新光商業銀行,369,65900,0,帳戶間款項移轉,0,,,2356
108年05月,臺灣銀行,12924,3476,0,帳戶間款項移轉,0,,,6
